model,snapshot,target,probe_type,selected_alpha,validation_score,final_score,final_secondary_score,label_shuffle_mean,label_shuffle_max,random_subspace_rank,random_subspace_mean,random_subspace_max
collapsed_plain,128,hard_box_conflicts,numeric,0.01,-0.022931957944852366,-0.04465171661043876,0.0,-0.04465171661043876,-0.04465171661043876,1,-0.04465171661043876,-0.04465171661043876
collapsed_plain,128,hard_unique_conflicts,numeric,0.01,-0.03110506542298208,-0.0561847699124669,0.0,-0.0561847699124669,-0.0561847699124669,1,-0.0561847699124669,-0.0561847699124669
collapsed_plain,128,row_candidate_count,numeric,0.01,-0.04221189204190656,-0.08220742150332994,0.0,-0.08220742150332994,-0.08220742150332994,1,-0.08220742150332994,-0.08220742150332994
collapsed_plain,128,column_candidate_count,numeric,0.01,-0.037947335932912774,-0.08761140355449015,0.0,-0.08761140355449015,-0.08761140355449015,1,-0.08761140355449015,-0.08761140355449015
collapsed_plain,128,box_candidate_count,numeric,0.01,-0.038053638507905996,-0.08105892564374595,0.0,-0.08105892564374595,-0.08105892564374595,1,-0.08105892564374595,-0.08105892564374595
collapsed_plain,128,joint_candidate_count,numeric,0.01,-0.005873235989884762,-0.010708147887013686,0.0,-0.010708147887013686,-0.010708147887013686,1,-0.010708147887013686,-0.010708147887013686
collapsed_plain,128,static_joint_candidate_count,numeric,10000.0,-0.0003552071325860773,-0.0024336461737011206,0.001275359224110817,-0.008689062351117022,-0.0038278510326859028,1,-0.004490951343590982,-0.00406858756748707
collapsed_plain,128,hard_row_conflicts,categorical,0.01,0.3333333333333333,0.3333333333333333,0.9512411347517731,0.3333333333333333,0.3333333333333333,1,0.3333333333333333,0.3333333333333333
collapsed_plain,128,hard_column_conflicts,categorical,0.01,0.3333333333333333,0.25,0.9441489361702128,0.25,0.25,1,0.25,0.25
collapsed_plain,128,hard_box_conflicts,categorical,0.01,0.3333333333333333,0.25,0.9476950354609929,0.25,0.25,1,0.25,0.25
collapsed_plain,128,hard_unique_conflicts,categorical,0.01,0.16666666666666666,0.14285714285714285,0.9264184397163121,0.14285714285714285,0.14285714285714285,1,0.14285714285714285,0.14285714285714285
collapsed_plain,128,row_candidate_count,categorical,0.01,0.25,0.25,0.9131205673758865,0.25,0.25,1,0.25,0.25
collapsed_plain,128,column_candidate_count,categorical,0.01,0.25,0.25,0.9069148936170213,0.25,0.25,1,0.25,0.25
collapsed_plain,128,box_candidate_count,categorical,0.01,0.25,0.25,0.9131205673758865,0.25,0.25,1,0.25,0.25
collapsed_plain,128,joint_candidate_count,categorical,0.01,0.3333333333333333,0.25,0.9539007092198581,0.25,0.25,1,0.25,0.25
collapsed_plain,128,static_joint_candidate_count,categorical,1.0,0.15419873401152004,0.16104840976774557,0.3404255319148936,0.14451691328424457,0.15613138498102158,6,0.1428739400598304,0.1510125361620058
collapsed_plain,128,target_candidate_legal,categorical,0.01,0.5,0.5,0.9210992907801419,0.5,0.5,1,0.5,0.5
collapsed_plain,1024,expected_row_conflicts,numeric,100.0,0.3405940689749922,0.326955297521886,0.22718690005265185,-0.09663170904890074,-0.034852484806672246,1,-0.028611971313375645,0.04026931223769681
collapsed_plain,1024,expected_column_conflicts,numeric,1.0,0.38333319226803886,0.3470900552627497,0.23086818848784385,-0.1610128300108178,-0.03584664398747739,1,-0.033273957686023724,0.05596804141406575
collapsed_plain,1024,expected_box_conflicts,numeric,1.0,0.3197330220070105,0.3362796749933077,0.2101814360236811,-0.1838420547470797,-0.08696537441175156,1,-0.03451367797838966,0.06466066800759063
